Presa	Predador	weight
Polychaeta	Acanthistius patachonicus	0.14
Merluccius hubbsi	Acanthistius patachonicus	0.15
Illex argentinus	Acanthistius patachonicus	0.02
Majidae	Acanthistius patachonicus	0.16
Echiurids	Acanthistius patachonicus	0.01
Munida gregaria	Acanthistius patachonicus	0.21
Patagonotothen spp	Acanthistius patachonicus	0.01
Pleoticus muelleri	Acanthistius patachonicus	0.16
Pterygosquilla armata armata	Acanthistius patachonicus	0.13
echinoids	Acanthistius patachonicus	0.01
detritus	Aequipecten tehuelchus	0.5
phytoplankton	Aequipecten tehuelchus	0.5
zooplankton	Agonopsis chiloensis	1
detritus	Amphipoda	0.3
phytoplankton	Amphipoda	0.3
POM	Amphipoda	0.4
Nereididae	Aphrodite	0.5
Polychaeta	Aphrodite	0.5
biofilm	Arbacia dufresnii	0.5
Mytilus edulis	Arbacia dufresnii	0.5
Doryteuthis gahi	Arctocephalus australis	0.01
Engraulis anchoita	Arctocephalus australis	0.2
Illex argentinus	Arctocephalus australis	0.05
Merluccius hubbsi	Arctocephalus australis	0.05
Munida gregaria	Arctocephalus australis	0.02
Cynoscion guatucupa	Arctocephalus australis	0.3
Patagonotothen spp	Arctocephalus australis	0.02
Trachurus lathami	Arctocephalus australis	0.3
Pleoticus muelleri	Arctocephalus australis	0.02
Pterygosquilla armata armata	Arctocephalus australis	0.01
Raneya spp	Arctocephalus australis	0.01
Sebastes oculatus	Arctocephalus australis	0.01
detritus	Artemesia longinaris	0.4
phytoplankton	Artemesia longinaris	0.3
zooplankton	Artemesia longinaris	0.3
detritus	Ascidiacea	0.4
phytoplankton	Ascidiacea	0.3
zooplankton	Ascidiacea	0.3
Mytilus edulis	Asteroidea	0.5
Bivalve	Asteroidea	0.5
Artemesia longinaris	Atlantoraja castelnaui	0.01
Atlantoraja castelnaui	Atlantoraja castelnaui	0.01
Cynoscion guatucupa	Atlantoraja castelnaui	0.25
Dules auriga	Atlantoraja castelnaui	0.04
Engraulis anchoita	Atlantoraja castelnaui	0.01
Libidoclaea granaria	Atlantoraja castelnaui	0.01
Libinia spinosa	Atlantoraja castelnaui	0.01
Mullus argentinae	Atlantoraja castelnaui	0.03
Mustelus schmitti	Atlantoraja castelnaui	0.01
Nemadactylus bergi	Atlantoraja castelnaui	0.02
Octopus tehuelchus	Atlantoraja castelnaui	0.04
Ovalipes trimaculatus	Atlantoraja castelnaui	0.05
Paralichthys spp	Atlantoraja castelnaui	0.15
Parona signata	Atlantoraja castelnaui	0.08
Percophis brasiliensis	Atlantoraja castelnaui	0.07
Pleoticus muelleri	Atlantoraja castelnaui	0.01
Raneya spp	Atlantoraja castelnaui	0.05
Sympterygia spp	Atlantoraja castelnaui	0.01
Trachurus lathami	Atlantoraja castelnaui	0.04
Triathalassothia argentina	Atlantoraja castelnaui	0.02
Stromateus brasiliensis	Atlantoraja castelnaui	0.01
Pinguipes brasilianus	Atlantoraja castelnaui	0.07
Artemesia longinaris	Atlantoraja cyclophora	0.1
Decapoda	Atlantoraja cyclophora	0.01
Dules auriga	Atlantoraja cyclophora	0.25
Eledone massyae	Atlantoraja cyclophora	0.02
Engraulis anchoita	Atlantoraja cyclophora	0.01
Eurypodius latreillii	Atlantoraja cyclophora	0.01
isopods	Atlantoraja cyclophora	0.02
Leurocyclus tuberculosus	Atlantoraja cyclophora	0.05
Libinia spinosa	Atlantoraja cyclophora	0.01
Mullus argentinae	Atlantoraja cyclophora	0.06
Munida gregaria	Atlantoraja cyclophora	0.15
Octopus tehuelchus	Atlantoraja cyclophora	0.02
Ovalipes trimaculatus	Atlantoraja cyclophora	0.01
Peltarion spinosulum	Atlantoraja cyclophora	0.03
Pinguipes brasilianus	Atlantoraja cyclophora	0.01
Pleoticus muelleri	Atlantoraja cyclophora	0.15
Raneya spp	Atlantoraja cyclophora	0.03
Trachurus lathami	Atlantoraja cyclophora	0.06
POM	Aulacomya atra	1
Amphipoda	Austrolycus laticinctus	0.5
isopods	Austrolycus laticinctus	0.5
POM	Balanus spp	1
Amphipoda	Bassanago albescens	0.1
Bivalve	Bassanago albescens	0.01
Cnidaria	Bassanago albescens	0.01
Illex argentinus	Bassanago albescens	0.63
Iluocoetes sp	Bassanago albescens	0.02
isopods	Bassanago albescens	0.1
Patagonotothen spp	Bassanago albescens	0.01
Polychaeta	Bassanago albescens	0.11
Psammobatis spp	Bassanago albescens	0.01
Agonopsis chiloensis	Bathyraja spp	0.04
Amphipoda	Bathyraja spp	0.04
Austropandalus grayi	Bathyraja spp	0.02
Cottoperca gobio	Bathyraja spp	0.02
Doryteuthis gahi	Bathyraja spp	0.02
Eurypodius latreillii	Bathyraja spp	0.01
Illex argentinus	Bathyraja spp	0.01
isopods	Bathyraja spp	0.06
Libidoclaea granaria	Bathyraja spp	0.01
Libinia spinosa	Bathyraja spp	0.01
Macruronus magellanicus	Bathyraja spp	0.01
Majidae	Bathyraja spp	0.01
Merluccius hubbsi	Bathyraja spp	0.2
Munida gregaria	Bathyraja spp	0.02
Mytilus edulis	Bathyraja spp	0.01
Myxine spp	Bathyraja spp	0.01
Nereididae	Bathyraja spp	0.01
Pagurus comptus	Bathyraja spp	0.01
Paralichthys spp	Bathyraja spp	0.02
Patagonotothen spp	Bathyraja spp	0.32
Peltarion spinosulum	Bathyraja spp	0.02
Pleoticus muelleri	Bathyraja spp	0.01
Polychaeta	Bathyraja spp	0.04
Psammobatis spp	Bathyraja spp	0.01
Pterygosquilla armata armata	Bathyraja spp	0.02
Raneya spp	Bathyraja spp	0.01
Semirossia tenera	Bathyraja spp	0.03
POM	Betaeus truncatus	0.5
Amphipoda	Betaeus truncatus	0.5
phytoplankton	Bivalve	0.5
POM	Bivalve	0.5
Decapoda	Bovichthys argentinus	0.3
Amphipoda	Bovichthys argentinus	0.4
isopods	Bovichthys argentinus	0.1
Gasteropods	Bovichthys argentinus	0.1
Polychaeta	Bovichthys argentinus	0.1
POM	Bryozoa	1
detritus	Buccinanops globulosus	0.5
Merluccius hubbsi	Buccinanops globulosus	0.2
Polychaeta	Buccinanops globulosus	0.3
Bivalve	Callorhinchus callorynchus	0.23
Asteroidea	Callorhinchus callorynchus	0.19
Illex argentinus	Callorhinchus callorynchus	0.1
Majidae	Callorhinchus callorynchus	0.02
Merluccius hubbsi	Callorhinchus callorynchus	0.18
Munida gregaria	Callorhinchus callorynchus	0.06
echinoids	Callorhinchus callorynchus	0.05
Pleoticus muelleri	Callorhinchus callorynchus	0.02
Polychaeta	Callorhinchus callorynchus	0.05
